"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000000001"	529	494	379	502	488	477
"ENSMUSG00000000028"	169	324	107	273	41	202
"ENSMUSG00000000037"	13	18	0	6	3	3
"ENSMUSG00000000049"	1	0	0	0	3	0
"ENSMUSG00000000056"	188	97	209	104	213	87
"ENSMUSG00000000058"	15	22	3	2	10	3
"ENSMUSG00000000078"	689	1621	631	983	557	1063
"ENSMUSG00000000085"	79	75	61	48	95	66
"ENSMUSG00000000088"	4304	5817	4161	4900	3600	4365
"ENSMUSG00000000093"	1	4	2	2	4	1
"ENSMUSG00000000120"	1	0	0	1	1	0
"ENSMUSG00000000125"	2	0	1	1	2	2
"ENSMUSG00000000126"	3	2	2	2	5	4
"ENSMUSG00000000127"	179	228	157	155	91	156
"ENSMUSG00000000131"	78	113	81	117	90	90
"ENSMUSG00000000134"	84	83	62	92	89	75
"ENSMUSG00000000142"	125	74	105	71	79	89
"ENSMUSG00000000148"	103	80	57	59	91	53
"ENSMUSG00000000149"	96	89	88	84	144	63
"ENSMUSG00000000154"	1	0	0	0	1	0
"ENSMUSG00000000167"	66	52	61	44	53	47
"ENSMUSG00000000168"	187	223	164	212	150	216
"ENSMUSG00000000171"	1551	1916	1140	1754	1299	1431
"ENSMUSG00000000184"	3598	9934	1794	10174	1706	9452
"ENSMUSG00000000194"	324	302	214	288	331	270
"ENSMUSG00000000197"	4	2	0	0	14	3
"ENSMUSG00000000202"	689	247	170	241	241	86
"ENSMUSG00000000204"	0	1	0	0	0	0
"ENSMUSG00000000214"	10	7	16	3	16	6
"ENSMUSG00000000215"	4	0	4	4	0	0
"ENSMUSG00000000223"	5	3	8	8	15	7
"ENSMUSG00000000244"	2	1	1	1	7	3
"ENSMUSG00000000247"	36	37	17	43	40	32
"ENSMUSG00000000248"	0	0	0	0	1	0
"ENSMUSG00000000253"	127	185	110	208	421	169
"ENSMUSG00000000263"	0	0	0	1	14	0
"ENSMUSG00000000266"	34	23	15	34	25	35
"ENSMUSG00000000276"	45	60	42	88	64	62
"ENSMUSG00000000278"	433	569	391	432	342	376
"ENSMUSG00000000282"	28	32	35	39	38	23
"ENSMUSG00000000290"	0	0	1	0	0	0
"ENSMUSG00000000295"	595	770	551	543	483	497
"ENSMUSG00000000296"	57	129	28	92	35	70
"ENSMUSG00000000301"	31	51	30	51	23	43
"ENSMUSG00000000303"	4	0	0	0	5	0
"ENSMUSG00000000305"	407	792	225	757	323	544
"ENSMUSG00000000308"	1	1	0	0	1	1
"ENSMUSG00000000317"	8	38	6	16	3	28
"ENSMUSG00000000320"	2	3	12	1	6	1
"ENSMUSG00000000325"	185	69	94	80	293	58
"ENSMUSG00000000326"	571	547	406	653	351	732
"ENSMUSG00000000339"	599	737	576	599	584	721
"ENSMUSG00000000340"	238	183	187	164	224	181
"ENSMUSG00000000346"	1276	1078	1141	1020	1234	907
"ENSMUSG00000000355"	520	658	530	430	456	426
"ENSMUSG00000000359"	0	1	0	0	0	0
"ENSMUSG00000000374"	46	43	40	47	75	26
