ensembl_gene_id	entrezgene
ENSMUSG00000064336	NA
ENSMUSG00000064337	NA
ENSMUSG00000064338	NA
ENSMUSG00000064339	NA
ENSMUSG00000064340	NA
ENSMUSG00000064341	17716
ENSMUSG00000064342	NA
ENSMUSG00000064343	NA
ENSMUSG00000064344	NA
ENSMUSG00000064345	17717
ENSMUSG00000064346	NA
ENSMUSG00000064347	NA
ENSMUSG00000064348	NA
ENSMUSG00000064349	NA
ENSMUSG00000064350	NA
ENSMUSG00000064351	17708
ENSMUSG00000064352	NA
ENSMUSG00000064353	NA
ENSMUSG00000064354	17709
ENSMUSG00000064355	NA
ENSMUSG00000064356	17706
ENSMUSG00000064357	17705
ENSMUSG00000064358	17710
ENSMUSG00000064359	NA
ENSMUSG00000064360	17718
ENSMUSG00000064361	NA
ENSMUSG00000065947	17720
ENSMUSG00000064363	17719
ENSMUSG00000064364	NA
ENSMUSG00000064365	NA
ENSMUSG00000064366	NA
ENSMUSG00000064367	17721
ENSMUSG00000064368	17722
ENSMUSG00000064369	NA
ENSMUSG00000064370	17711
ENSMUSG00000064371	NA
ENSMUSG00000064372	NA
ENSMUSG00000080801	NA
ENSMUSG00000111896	NA
ENSMUSG00000117059	NA
ENSMUSG00000093531	NA
ENSMUSG00000115456	NA
ENSMUSG00000114241	NA
ENSMUSG00000108287	NA
ENSMUSG00000092431	NA
ENSMUSG00000111765	NA
ENSMUSG00000113709	NA
ENSMUSG00000106690	622731
ENSMUSG00000116265	NA
ENSMUSG00000020592	20969
ENSMUSG00000075054	67008
ENSMUSG00000104385	NA
ENSMUSG00000096144	432860
ENSMUSG00000082548	NA
ENSMUSG00000050138	210741
ENSMUSG00000006169	216705
ENSMUSG00000107027	69402
ENSMUSG00000106677	94215
ENSMUSG00000109700	100861673
ENSMUSG00000002985	11816
ENSMUSG00000002250	19015
ENSMUSG00000002250	69050
ENSMUSG00000031065	18555
ENSMUSG00000045091	208760
ENSMUSG00000107967	NA
ENSMUSG00000035878	235386
ENSMUSG00000023966	75564
ENSMUSG00000100505	545645
ENSMUSG00000103688	NA
ENSMUSG00000090691	100042100
ENSMUSG00000098132	78748
ENSMUSG00000085250	NA
ENSMUSG00000101250	NA
ENSMUSG00000099544	NA
ENSMUSG00000110152	NA
ENSMUSG00000031343	14396
ENSMUSG00000025037	17161
ENSMUSG00000045160	78653
ENSMUSG00000029334	19092
ENSMUSG00000022199	59049
ENSMUSG00000058881	329003
ENSMUSG00000023015	26934
ENSMUSG00000086971	NA
ENSMUSG00000094868	13397
ENSMUSG00000106968	NA
ENSMUSG00000101496	NA
ENSMUSG00000091292	NA
ENSMUSG00000114031	NA
ENSMUSG00000112003	NA
ENSMUSG00000102914	NA
ENSMUSG00000115405	NA
ENSMUSG00000113130	NA
ENSMUSG00000043300	26879
ENSMUSG00000101247	NA
ENSMUSG00000114698	NA
ENSMUSG00000090063	320038
ENSMUSG00000100374	NA
ENSMUSG00000103769	NA
ENSMUSG00000093483	NA
ENSMUSG00000080980	237880
ENSMUSG00000030525	11441
ENSMUSG00000096685	102634532
ENSMUSG00000107972	NA
ENSMUSG00000082251	NA
ENSMUSG00000100443	NA
ENSMUSG00000115009	NA
ENSMUSG00000036376	30946
ENSMUSG00000108259	NA
ENSMUSG00000085006	NA
ENSMUSG00000092467	NA
ENSMUSG00000117253	NA
ENSMUSG00000086677	NA
ENSMUSG00000105823	NA
ENSMUSG00000020704	11418
ENSMUSG00000101313	NA
ENSMUSG00000076680	NA
ENSMUSG00000116771	NA
ENSMUSG00000109878	NA
ENSMUSG00000084295	NA
ENSMUSG00000055452	NA
ENSMUSG00000113953	NA
ENSMUSG00000023882	22712
ENSMUSG00000028071	27371
ENSMUSG00000102135	NA
ENSMUSG00000091491	627367
ENSMUSG00000107523	NA
ENSMUSG00000111207	NA
ENSMUSG00000102652	NA
ENSMUSG00000102123	100043255
ENSMUSG00000018239	67966
ENSMUSG00000103641	NA
ENSMUSG00000029754	13396
ENSMUSG00000113220	NA
ENSMUSG00000108044	NA
ENSMUSG00000100478	NA
ENSMUSG00000068220	16852
ENSMUSG00000049315	258946
ENSMUSG00000073965	259095
ENSMUSG00000091742	NA
ENSMUSG00000099781	NA
ENSMUSG00000102073	NA
ENSMUSG00000084027	NA
ENSMUSG00000042360	NA
ENSMUSG00000030762	11833
ENSMUSG00000101708	545951
ENSMUSG00000037784	72507
ENSMUSG00000091205	233445
ENSMUSG00000091814	100504200
ENSMUSG00000029268	552899
