"","logFC","logCPM","PValue","FDR"
"mmu-mir-615-3p",-11.6665566298133,7.90862303718977,0.0432135470736478,0.871720779282919
"mmu-mir-293-3p",-11.3429182750362,4.79015503942113,0.130508997462082,1
"mmu-mir-293-5p",-11.1031068659767,4.5508217346338,0.0510153906939901,0.871720779282919
"mmu-mir-196a-5p",-10.0292756997247,3.50845815063356,0.0205108614063111,0.664194063217981
"mmu-mir-196b-5p",-9.93678917022878,8.57891430872927,0.062857964135442,0.871720779282919
"mmu-mir-295-3p",-9.78662177849163,3.24125837528636,0.149993821700764,1
"mmu-mir-10b-3p",-9.61462478000504,5.86134622006643,0.0033982667318391,0.331670833027496
"mmu-mir-543-3p",-9.40645735889632,2.88475791873656,6.68048670492692e-05,0.0244505813400325
"mmu-mir-182-3p",-9.28861556487642,2.72338338945895,0.353743077263146,1
"mmu-mir-292a-3p",-9.15638414789081,2.62741799453327,0.050653796947613,0.871720779282919
"mmu-mir-291a-3p",-8.9085450966542,2.36393186251996,0.189339114882585,1
"mmu-mir-183-5p",-8.76164223443009,10.426863859373,0.207276173862284,1
"mmu-mir-294-3p",-8.50164035188408,1.97961437711745,0.0902121836203834,0.983158776196192
"mmu-mir-196a-1-3p",-8.43754331529548,1.9835039980531,0.108619581934181,1
"mmu-mir-411-3p",-8.38830714036856,1.89951523813133,0.000829611691492694,0.202425252724217
"mmu-mir-183-3p",-8.3169105199406,1.74964398637737,0.430613937697593,1
"mmu-mir-292a-5p",-8.16944723753278,6.24680459762491,0.209634021418141,1
"mmu-mir-182-5p",-8.1590617777317,10.8367837599734,0.237669196899899,1
"mmu-mir-291a-5p",-8.06449005059528,1.5529352636,0.194280016191726,1
"mmu-mir-483-5p",-8.01812446846032,1.45944283673626,0.316239542722823,1
"mmu-mir-302b-3p",-7.91867778393631,1.4197630147861,0.19360187467447,1
"mmu-mir-136-3p",-7.45234640914616,1.02336246455254,0.00502225047966687,0.385338146338506
"mmu-mir-196b-3p",-7.39147133377739,1.04445760831254,0.205318540780999,1
"mmu-mir-429-3p",-7.11238849329444,0.653711169480641,0.149480401177485,1
"mmu-mir-96-5p",-7.02517735713811,6.64838751867342,0.410225479743057,1
"mmu-mir-483-3p",-7.02516048184435,3.26079180794419,0.375645350090089,1
"mmu-mir-485-3p",-6.9588620441449,0.578917620086991,0.0106626946413749,0.473035907726449
"mmu-mir-10b-5p",-6.90387721300119,12.8588298595329,0.00740932976934592,0.473035907726449
"mmu-mir-329-3p",-6.76508852225853,0.412869888736733,0.016314933776596,0.641797916050683
"mmu-mir-669c-3p",-6.53397539635175,0.0810205187950086,0.403035840733621,1
